imdb_id,title,release_year,runtime_minutes,genres,budget,revenue,ROI,imdb_rating,imdb_vote_count,original_language,production_companies,popularity,rec_director,rec_writer,star_power,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_War,genre_Western,historical_genre_roi,historical_director_roi,historical_writer_roi
tt6421110,Proud Mary,2018,89.0,"Action,Crime,Drama",14000000,21753365,0.5538117857142857,5.1,11585.0,en,Screen Gems,11.611,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431790842257546,2.4292407833333334,
tt6443294,Blaze,2018,129.0,"Biography,Drama,Music",1200000,467306,-0.6105783333333333,6.6,4012.0,en,"Ansgar Media, Cinetic Media, Village Studios, Black Hangar Studios",8.62,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.2988470584120515,,
tt6450186,I Can Only Imagine,2018,110.0,"Biography,Drama,Family",7000000,86026201,11.289457285714288,7.3,21091.0,en,"Kevin Downes Productions, Mission Pictures International, City on a Hill Productions, Imagine Rights, LD Entertainment",19.42,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.419365188037553,0.642724741666667,0.642724741666667
tt6452574,Sanju,2018,155.0,"Biography,Comedy,Drama",21918618,67414985,2.075695055226566,7.6,68101.0,hi,"Rajkumar Hirani Films, Vinod Chopra Films, Vidhu Vinod Chopra Productions",8.223,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.221489470454079,8.23076923076923,6.365384615384615
tt6469548,The Head Hunter,2018,72.0,"Fantasy,Horror",30000,44652,0.4884,5.4,7846.0,en,"Brayne Studios, Detention Films",9.126,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,7.7976354690616425,,
tt6491178,Dragged Across Concrete,2018,159.0,"Action,Crime,Drama",15000000,660132,-0.9559912,6.9,62974.0,en,"Cinestate, Look to the Sky Films, Unified Pictures, Moot Point (Dragged) Productions, Realmbuilders Productions, Victory Square Technologies, The Fyzz, Summit Entertainment, Bloom, Endeavor Content, Ingenious Media, Lionsgate, Metrol Technology",15.605,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431790842257546,,
tt6494418,Siberia,2018,104.0,"Crime,Drama,Romance",2000000,2006704,0.003352,4.3,18894.0,en,"Buffalo Gal Pictures, Summerstorm Entertainment, Company Films, Lionsgate",14.886,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2.5962247718036524,,
tt6495770,Action Point,2018,85.0,Comedy,19000000,5059608,-0.7337048421052632,5.2,12844.0,en,"Dickhouse Productions, Paramount",10.144,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.090046279503272,,
tt6499752,Upgrade,2018,100.0,"Action,Sci-Fi,Thriller",5000000,16706680,2.341336,7.5,237460.0,en,"Goalpost Pictures, Automatik Entertainment, Blumhouse Productions, Nervous Tick, Film Victoria, BH Tilt",22.725,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.674737401130986,10.2983889,10.298388899999999
tt6513656,Escape Plan 2: Hades,2018,93.0,"Action,Crime,Mystery",20000000,17500000,-0.125,3.9,38712.0,en,"Leomus Pictures, Grindstone Entertainment Group, Lionsgate, Summit Entertainment, Highland Film Group, Plastic Fish Productions, The Fyzz, Ingenious Media, Emmett/Furla/Oasis Films (EFO Films), RPI Group Productions",29.866,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.9000840677611013,,
tt6543652,Cold War,2018,89.0,"Drama,Music,Romance",4954500,18754051,2.785256029871834,7.5,65933.0,pl,"Protagonist Pictures, Opus Film, MK2 Films, Film4 Productions, ARTE, BFI, CNC",10.183,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,7.568926985129875,,
tt6545212,Leera the Soulmate,2018,104.0,,56000,23000,-0.5892857142857143,4.7,2197.0,en,Kaljai Productions,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
tt6559390,The Apparition,2018,144.0,"Drama,Mystery",9661157,3562793,-0.6312250178731181,6.3,2037.0,fr,"Curiosa Films, France 3 Cinéma, Gabriel Inc., Proximus, La Cinéfacture, Memento Films Production",7.172,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.741337533974042,,-0.5581789596278316
tt6588966,Hichki,2018,116.0,"Comedy,Drama",2000000,25629954,11.814977,7.5,15589.0,hi,Yash Raj Films,7.535,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81447198761099,,
tt6628394,Bad Times at the El Royale,2018,141.0,"Crime,Drama,Mystery",32000000,31882724,-0.003664875,7.1,180413.0,en,"20th Century Fox, Goddard Textiles, TSG Entertainment",16.267,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.295562490448869,,4.838888888888889
tt6644200,A Quiet Place,2018,90.0,"Drama,Horror,Sci-Fi",17000000,341000000,19.058823529411764,7.5,667621.0,en,"Paramount, Platinum Dunes",38.002,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,6.559424777409304,-0.7323723684210535,
tt6663582,The Spy Who Dumped Me,2018,117.0,"Action,Adventure,Comedy",40000000,33562069,-0.160948275,6.1,87856.0,en,"Imagine Entertainment, Lionsgate, Bron Studios",19.838,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934573563049581,,
tt6697582,Arif V 216,2018,125.0,"Comedy,Sci-Fi",1705235,3501037,1.0531111547675247,6.9,42014.0,tr,"Nulook Production, CMYLMZ Fikirsanat",5.573,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.4081086035529236,,
tt6704346,Rhino Horn,2018,86.0,"Action,Crime,Thriller",10000,100000,9.0,2.8,97.0,fa,Aftab Alamtab,0.6,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.234017893062969,,
tt6747224,Captain,2018,145.0,"Biography,Sport",2340000,577500,-0.7532051282051282,6.8,896.0,ml,Goodwill Entertainments,0.997,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.9167309019516534,,
tt6749318,Speed Kills,2018,102.0,"Action,Crime,Drama",15000000,5812,-0.9996125333333332,4.4,4410.0,en,"Pimienta, Blue Rider Pictures, JTP Films, Speed Kills Production, Hannibal Classics",9.557,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.431790842257546,,
tt6772950,Truth or Dare,2018,100.0,"Horror,Mystery,Thriller",3500000,95330493,26.23728371428572,5.3,75091.0,en,Blumhouse Productions,27.576,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,9.10085397642366,,3.4561920000000015
tt6774212,Aiyaary,2018,157.0,"Crime,Drama,Thriller",9150000,41000000,3.480874316939891,5.3,5604.0,hi,"Friday Filmworks, Motion Picture Capital, Reliance Entertainment, Plan C Studios",4.474,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.629496315750737,,
tt6774420,Queen,2018,157.0,"Comedy,Crime,Mystery",562000,1334800,1.3750889679715304,6.8,1633.0,ml,Arabian Dreams Entertainment,2.072,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.479278685043724,,
tt6781982,Night School,2018,111.0,Comedy,29000000,33157615,0.1433660344827586,5.6,49659.0,en,"HartBeat Productions, Will Packer Productions, Perfect World Pictures, Universal Pictures",29.771,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.090046279503272,4.069872880263158,1.383838383838384
tt6791096,I Feel Pretty,2018,110.0,"Comedy,Romance",32000000,94539426,1.9543570625,5.7,61107.0,en,"Wonderland Sound and Vision, Voltage Pictures, Universal Pictures, STX Films, Huayi Brothers Pictures",26.655,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.467905247898498,,1.9564082368421045
tt6793580,Champions,2018,124.0,"Comedy,Drama,Family",4920975,20121318,3.0888884824653653,7.2,13149.0,es,"Películas Pendelton, Morena Films, Movistar+, Realizaciones Sol S.A., TVE",15.339,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.104205802491892,,
tt6802308,The 15:17 to Paris,2018,94.0,"Biography,Drama,Thriller",30000000,57076286,0.9025428666666668,5.3,38178.0,en,"Warner Bros. Pictures, Malpaso Productions, Village Roadshow Pictures, Dune Entertainment",16.183,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.840000326664647,3.9732947996031744,
tt6818140,"Help, I Shrunk My Parents",2018,93.0,"Action,Adventure,Comedy",7000000,8351526,0.1930751428571428,5.0,521.0,de,"Blue Eyes Fiction, Karibufilm, Mini Film, ARRI Media",5.315,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934573563049581,,0.2172881428571428
tt6820256,Arctic,2018,98.0,"Adventure,Drama",2000000,4100000,1.05,6.8,63970.0,en,"Armory Films, Pegasus Pictures, Union Entertainment Group, The Domain Group, XYZ Films",11.468,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9500548388543875,,
tt6850820,Peppermint,2018,101.0,"Action,Adventure,Drama",25000000,53918723,1.15674892,6.5,76542.0,en,"STX Films, Lakeshore Entertainment, Huayi Brothers Pictures, Universal Pictures",19.181,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7508573684547266,-0.6588927,2.4292407833333334
tt6857166,Book Club,2018,104.0,"Comedy,Drama,Romance",10000000,78720293,6.8720293,6.1,35174.0,en,"June Pictures, Apartment Story",14.475,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.4915693971719013,,3.6826592499999995
tt6864046,Shadow,2018,116.0,"Action,Adventure,Fantasy",44005000,91708374,1.0840444040449948,7.0,20054.0,zh,"Village Roadshow Pictures Asia, LeVision Pictures, Bona Film Group",14.874,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.29857987962071,1.2130473666666668,
tt6878882,Operation Red Sea,2018,138.0,"Action,Drama,Thriller",70000000,579220560,7.274579428571428,6.6,8722.0,zh,"Bona Film Group, The P.L.A Navy Government TV Art Central of China, Star Dream Studio Media, Emperor Film Production, Film Fireworks Production, ZAK Film Productions",19.637,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.945646323836364,4.728476821192054,4.728476821192054
tt6910612,Saranno famosi?,2018,90.0,Comedy,3000,10000,2.333333333333333,,,it,"Comune di Firenze, Comune di Pontassieve, Comune di Rufina, Comune di Pelago, 51% Danza, BESAME",0.704,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.090046279503272,,
tt6911608,Mamma Mia! Here We Go Again,2018,114.0,"Comedy,Musical,Romance",75000000,395044706,4.267262746666667,6.6,122732.0,en,"Littlestar, Playtone",25.164,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2.850483303235356,,7.597826600000001
tt6921996,Johnny English Strikes Again,2018,89.0,"Action,Adventure,Comedy",25000000,158972499,5.35889996,6.2,91706.0,en,Working Title Films,21.362,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.934573563049581,,
